State,Year,NAEP,US NAEP
District of Columbia,2007,241,263
Florida,2007,260,263
Georgia,2007,259,263
Hawaii,2007,251,263
Idaho,2007,265,263
Illinois,2007,263,263
Indiana,2007,264,263
Iowa,2007,267,263
Kansas,2007,267,263
Kentucky,2007,262,263
Louisiana,2007,253,263
Maine,2007,270,263
Maryland,2007,265,263
Massachusetts,2007,273,263
Michigan,2007,260,263
Minnesota,2007,268,263
Mississippi,2007,250,263
Missouri,2007,263,263
Montana,2007,271,263
Nebraska,2007,267,263
Nevada,2007,252,263
New Hampshire,2007,270,263
New Jersey,2007,270,263
New Mexico,2007,251,263
New York,2007,264,263
North Carolina,2007,259,263
North Dakota,2007,268,263
Ohio,2007,268,263
Oklahoma,2007,260,263
Oregon,2007,266,263
Pennsylvania,2007,268,263
Rhode Island,2007,258,263
South Carolina,2007,257,263
South Dakota,2007,270,263
Tennessee,2007,259,263
Texas,2007,261,263
Utah,2007,262,263
Vermont,2007,273,263
Virginia,2007,267,263
Washington,2007,265,263
West Virginia,2007,255,263
Wisconsin,2007,264,263
Wyoming,2007,266,263
DoDEA,2009,272,264
United States,2009,264,264
Alabama,2009,255,264
Alaska,2009,259,264
Arizona,2009,258,264
Arkansas,2009,258,264
California,2009,253,264
Colorado,2009,266,264
Connecticut,2009,272,264
Delaware,2009,265,264
District of Columbia,2009,242,264
Florida,2009,264,264
Georgia,2009,260,264
Hawaii,2009,255,264
Idaho,2009,265,264
Illinois,2009,265,264
Indiana,2009,266,264
Iowa,2009,265,264
Kansas,2009,267,264
Kentucky,2009,267,264
Louisiana,2009,253,264
Maine,2009,268,264
Maryland,2009,267,264
Massachusetts,2009,274,264
Michigan,2009,262,264
Minnesota,2009,270,264
Mississippi,2009,251,264
Missouri,2009,267,264
Montana,2009,270,264
Nebraska,2009,267,264
Nevada,2009,254,264
New Hampshire,2009,271,264
New Jersey,2009,273,264
New Mexico,2009,254,264
New York,2009,264,264
North Carolina,2009,260,264
North Dakota,2009,269,264
Ohio,2009,269,264
Oklahoma,2009,259,264
Oregon,2009,265,264
Pennsylvania,2009,271,264
Rhode Island,2009,260,264
South Carolina,2009,257,264
South Dakota,2009,270,264
Tennessee,2009,261,264
Texas,2009,260,264
Utah,2009,266,264
Vermont,2009,272,264
Virginia,2009,266,264
Washington,2009,267,264
West Virginia,2009,255,264
Wisconsin,2009,266,264
Wyoming,2009,268,264
DoDEA,2011,272,265
United States,2011,265,265
Alabama,2011,258,265
Alaska,2011,261,265
Arizona,2011,260,265
Arkansas,2011,259,265
California,2011,255,265
Colorado,2011,271,265
Connecticut,2011,275,265
Delaware,2011,266,265
District of Columbia,2011,242,265
Florida,2011,262,265
Georgia,2011,262,265
Hawaii,2011,257,265
Idaho,2011,268,265
Illinois,2011,266,265
Indiana,2011,265,265
Iowa,2011,265,265
Kansas,2011,267,265
Kentucky,2011,269,265
Louisiana,2011,255,265
Maine,2011,270,265
Maryland,2011,271,265
Massachusetts,2011,275,265
Michigan,2011,265,265
Minnesota,2011,270,265
Mississippi,2011,254,265
Missouri,2011,267,265
Montana,2011,273,265
Nebraska,2011,268,265
Nevada,2011,258,265
New Hampshire,2011,272,265
New Jersey,2011,275,265
New Mexico,2011,256,265
New York,2011,266,265
North Carolina,2011,263,265
North Dakota,2011,269,265
Ohio,2011,268,265
Oklahoma,2011,260,265
Oregon,2011,264,265
Pennsylvania,2011,268,265
Rhode Island,2011,265,265
South Carolina,2011,260,265
South Dakota,2011,269,265
Tennessee,2011,259,265
Texas,2011,261,265
Utah,2011,267,265
Vermont,2011,274,265
Virginia,2011,267,265
Washington,2011,268,265
West Virginia,2011,256,265
Wisconsin,2011,267,265
Wyoming,2011,270,265
DoDEA,2013,277,268
United States,2013,268,268
Alabama,2013,257,268
Alaska,2013,261,268
Arizona,2013,260,268
Arkansas,2013,262,268
California,2013,262,268
Colorado,2013,271,268
Connecticut,2013,274,268
Delaware,2013,266,268
District of Columbia,2013,248,268
Florida,2013,266,268
Georgia,2013,265,268
Hawaii,2013,260,268
Idaho,2013,270,268
Illinois,2013,267,268
Indiana,2013,267,268
Iowa,2013,269,268
Kansas,2013,267,268
Kentucky,2013,270,268
Louisiana,2013,257,268
Maine,2013,269,268
Maryland,2013,274,268
Massachusetts,2013,277,268
Michigan,2013,266,268
Minnesota,2013,271,268
Mississippi,2013,253,268
Missouri,2013,267,268
Montana,2013,272,268
Nebraska,2013,269,268
Nevada,2013,262,268
New Hampshire,2013,274,268
New Jersey,2013,276,268
New Mexico,2013,256,268
New York,2013,266,268
North Carolina,2013,265,268
North Dakota,2013,268,268
Ohio,2013,269,268
Oklahoma,2013,262,268
Oregon,2013,268,268
Pennsylvania,2013,272,268
Rhode Island,2013,267,268
South Carolina,2013,261,268
South Dakota,2013,268,268
Tennessee,2013,265,268
Texas,2013,264,268
Utah,2013,270,268
Vermont,2013,274,268
Virginia,2013,268,268
Washington,2013,272,268
West Virginia,2013,257,268
Wisconsin,2013,268,268
Wyoming,2013,271,268
DoDEA,2015,277,265
United States,2015,265,265
Alabama,2015,259,265
Alaska,2015,260,265
Arizona,2015,263,265
Arkansas,2015,259,265
California,2015,259,265
Colorado,2015,268,265
Connecticut,2015,273,265
Delaware,2015,263,265
District of Columbia,2015,248,265
Florida,2015,263,265
Georgia,2015,262,265
Hawaii,2015,257,265
Idaho,2015,269,265
Illinois,2015,267,265
Indiana,2015,268,265
Iowa,2015,268,265
Kansas,2015,267,265
Kentucky,2015,268,265
Louisiana,2015,255,265
Maine,2015,268,265
Maryland,2015,268,265
Massachusetts,2015,274,265
Michigan,2015,264,265
Minnesota,2015,270,265
Mississippi,2015,252,265
Missouri,2015,267,265
Montana,2015,270,265
Nebraska,2015,269,265
Nevada,2015,259,265
New Hampshire,2015,275,265
New Jersey,2015,271,265
New Mexico,2015,253,265
New York,2015,263,265
North Carolina,2015,261,265
North Dakota,2015,267,265
Ohio,2015,266,265
Oklahoma,2015,263,265
Oregon,2015,268,265
Pennsylvania,2015,269,265
Rhode Island,2015,265,265
South Carolina,2015,260,265
South Dakota,2015,267,265
Tennessee,2015,265,265
Texas,2015,261,265
Utah,2015,269,265
Vermont,2015,274,265
Virginia,2015,267,265
Washington,2015,267,265
West Virginia,2015,260,265
Wisconsin,2015,270,265
Wyoming,2015,269,265
DoDEA,2017,280,267
United States,2017,267,267
Alabama,2017,258,267
Alaska,2017,258,267
Arizona,2017,263,267
Arkansas,2017,260,267
California,2017,263,267
Colorado,2017,270,267
Connecticut,2017,273,267
Delaware,2017,263,267
District of Columbia,2017,247,267
Florida,2017,267,267
Georgia,2017,266,267
Hawaii,2017,261,267
Idaho,2017,270,267
Illinois,2017,267,267
Indiana,2017,272,267
Iowa,2017,268,267
Kansas,2017,267,267
Kentucky,2017,265,267
Louisiana,2017,257,267
Maine,2017,269,267
Maryland,2017,267,267
Massachusetts,2017,278,267
Michigan,2017,265,267
Minnesota,2017,269,267
Mississippi,2017,256,267
Missouri,2017,266,267
Montana,2017,267,267
Nebraska,2017,269,267
Nevada,2017,260,267
New Hampshire,2017,275,267
New Jersey,2017,275,267
New Mexico,2017,256,267
New York,2017,264,267
North Carolina,2017,263,267
North Dakota,2017,265,267
Ohio,2017,268,267
Oklahoma,2017,261,267
Oregon,2017,266,267
Pennsylvania,2017,270,267
Rhode Island,2017,266,267
South Carolina,2017,260,267
South Dakota,2017,267,267
Tennessee,2017,262,267
Texas,2017,260,267
Utah,2017,269,267
Vermont,2017,273,267
Virginia,2017,268,267
Washington,2017,272,267
West Virginia,2017,259,267
Wisconsin,2017,269,267
Wyoming,2017,269,267
DoDEA,2019,280,263
United States,2019,263,263
Alabama,2019,253,263
Alaska,2019,252,263
Arizona,2019,259,263
Arkansas,2019,259,263
California,2019,259,263
Colorado,2019,267,263
Connecticut,2019,270,263
Delaware,2019,260,263
District of Columbia,2019,250,263
Florida,2019,263,263
Georgia,2019,262,263
Hawaii,2019,258,263
Idaho,2019,266,263
Illinois,2019,265,263
Indiana,2019,266,263
Iowa,2019,262,263
Kansas,2019,263,263
Kentucky,2019,263,263
Louisiana,2019,257,263
Maine,2019,265,263
Maryland,2019,264,263
Massachusetts,2019,273,263
Michigan,2019,263,263
Minnesota,2019,264,263
Mississippi,2019,256,263
Missouri,2019,263,263
Montana,2019,265,263
Nebraska,2019,264,263
Nevada,2019,258,263
New Hampshire,2019,268,263
New Jersey,2019,270,263
New Mexico,2019,252,263
New York,2019,262,263
North Carolina,2019,263,263
North Dakota,2019,263,263
Ohio,2019,267,263
Oklahoma,2019,258,263
Oregon,2019,264,263
Pennsylvania,2019,264,263
Rhode Island,2019,262,263
South Carolina,2019,259,263
South Dakota,2019,263,263
Tennessee,2019,262,263
Texas,2019,256,263
Utah,2019,267,263
Vermont,2019,268,263
Virginia,2019,262,263
Washington,2019,266,263
West Virginia,2019,256,263
Wisconsin,2019,267,263
Wyoming,2019,265,263
DoDEA,2022,282,260
United States,2022,260,260
Alabama,2022,251,260
Alaska,2022,253,260
Arizona,2022,259,260
Arkansas,2022,255,260
California,2022,259,260
Colorado,2022,263,260
Connecticut,2022,264,260
Delaware,2022,253,260
District of Columbia,2022,250,260
Florida,2022,260,260
Georgia,2022,260,260
Hawaii,2022,259,260
Idaho,2022,264,260
Illinois,2022,262,260
Indiana,2022,261,260
Iowa,2022,260,260
Kansas,2022,256,260
Kentucky,2022,258,260
Louisiana,2022,257,260
Maine,2022,257,260
Maryland,2022,259,260
Massachusetts,2022,269,260
Michigan,2022,259,260
Minnesota,2022,260,260
Mississippi,2022,253,260
Missouri,2022,258,260
Montana,2022,261,260
Nebraska,2022,259,260
Nevada,2022,259,260
New Hampshire,2022,263,260
New Jersey,2022,270,260
New Mexico,2022,248,260
New York,2022,262,260
North Carolina,2022,256,260
North Dakota,2022,258,260
Ohio,2022,262,260
Oklahoma,2022,251,260
Oregon,2022,257,260
Pennsylvania,2022,259,260
Rhode Island,2022,259,260
South Carolina,2022,254,260
South Dakota,2022,262,260
Tennessee,2022,258,260
Texas,2022,255,260
Utah,2022,265,260
Vermont,2022,264,260
Virginia,2022,260,260
Washington,2022,262,260
West Virginia,2022,249,260
Wisconsin,2022,262,260
Wyoming,2022,261,260
