State,Year,NAEP,US NAEP
Tennessee,2017,237,239
Texas,2017,241,239
Utah,2017,242,239
Vermont,2017,241,239
Virginia,2017,248,239
Washington,2017,242,239
West Virginia,2017,236,239
Wisconsin,2017,240,239
Wyoming,2017,248,239
DoDEA,2019,250,240
United States,2019,240,240
Alabama,2019,230,240
Alaska,2019,232,240
Arizona,2019,238,240
Arkansas,2019,233,240
California,2019,235,240
Colorado,2019,242,240
Connecticut,2019,243,240
Delaware,2019,239,240
District of Columbia,2019,235,240
Florida,2019,246,240
Georgia,2019,238,240
Hawaii,2019,239,240
Idaho,2019,242,240
Illinois,2019,237,240
Indiana,2019,245,240
Iowa,2019,241,240
Kansas,2019,239,240
Kentucky,2019,239,240
Louisiana,2019,231,240
Maine,2019,241,240
Maryland,2019,239,240
Massachusetts,2019,247,240
Michigan,2019,236,240
Minnesota,2019,248,240
Mississippi,2019,241,240
Missouri,2019,238,240
Montana,2019,241,240
Nebraska,2019,244,240
Nevada,2019,236,240
New Hampshire,2019,245,240
New Jersey,2019,246,240
New Mexico,2019,231,240
New York,2019,237,240
North Carolina,2019,241,240
North Dakota,2019,243,240
Ohio,2019,241,240
Oklahoma,2019,237,240
Oregon,2019,236,240
Pennsylvania,2019,244,240
Rhode Island,2019,239,240
South Carolina,2019,237,240
South Dakota,2019,241,240
Tennessee,2019,240,240
Texas,2019,244,240
Utah,2019,244,240
Vermont,2019,239,240
Virginia,2019,247,240
Washington,2019,240,240
West Virginia,2019,231,240
Wisconsin,2019,242,240
Wyoming,2019,246,240
DoDEA,2022,250,236
United States,2022,236,236
Alabama,2022,230,236
Alaska,2022,226,236
Arizona,2022,232,236
Arkansas,2022,228,236
California,2022,230,236
Colorado,2022,236,236
Connecticut,2022,236,236
Delaware,2022,226,236
District of Columbia,2022,223,236
Florida,2022,241,236
Georgia,2022,235,236
Hawaii,2022,237,236
Idaho,2022,236,236
Illinois,2022,237,236
Indiana,2022,239,236
Iowa,2022,240,236
Kansas,2022,235,236
Kentucky,2022,234,236
Louisiana,2022,229,236
Maine,2022,233,236
Maryland,2022,229,236
Massachusetts,2022,242,236
Michigan,2022,232,236
Minnesota,2022,239,236
Mississippi,2022,234,236
Missouri,2022,232,236
Montana,2022,239,236
Nebraska,2022,242,236
Nevada,2022,229,236
New Hampshire,2022,239,236
New Jersey,2022,239,236
New Mexico,2022,221,236
New York,2022,227,236
North Carolina,2022,236,236
North Dakota,2022,240,236
Ohio,2022,238,236
Oklahoma,2022,229,236
Oregon,2022,228,236
Pennsylvania,2022,238,236
Rhode Island,2022,234,236
South Carolina,2022,234,236
South Dakota,2022,239,236
Tennessee,2022,236,236
Texas,2022,239,236
Utah,2022,240,236
Vermont,2022,234,236
Virginia,2022,236,236
Washington,2022,235,236
West Virginia,2022,226,236
Wisconsin,2022,240,236
Wyoming,2022,243,236
