Year,State,Format,Total Salary,Total Benefits
2003,Kansas,Per Student - Inflation Adjusted,6523.625006681869,1398.6614036247931
2003,Kentucky,Per Student - Inflation Adjusted,6298.610546066795,1605.2661039622412
2003,Louisiana,Per Student - Inflation Adjusted,6253.469192201095,1751.39975749368
2003,Maine,Per Student - Inflation Adjusted,7582.532377001961,3379.851138981309
2003,Maryland,Per Student - Inflation Adjusted,8185.5332664023545,2530.0210001180685
2003,Massachusetts,Per Student - Inflation Adjusted,9183.192508707483,2838.380952580956
2003,Michigan,Per Student - Inflation Adjusted,7527.161808676552,2885.4155588466583
2003,Minnesota,Per Student - Inflation Adjusted,7630.1603907363215,2036.7722349207315
2003,Mississippi,Per Student - Inflation Adjusted,5122.999706910805,1378.287747200899
2003,Missouri,Per Student - Inflation Adjusted,6835.065026482071,1552.2550367622068
2003,Montana,Per Student - Inflation Adjusted,6255.093998365274,1761.4876844608507
2003,Nebraska,Per Student - Inflation Adjusted,6750.801165932763,1943.268172359477
2003,Nevada,Per Student - Inflation Adjusted,5505.973584182696,1665.9490820070566
2003,New Hampshire,Per Student - Inflation Adjusted,7285.828642673409,2098.034491684951
2003,New Jersey,Per Student - Inflation Adjusted,10801.767894466748,3194.0863437931284
2003,New Mexico,Per Student - Inflation Adjusted,6268.742370144388,1661.1311785115315
2003,New York,Per Student - Inflation Adjusted,11081.686674681856,3197.8869773423844
2003,North Carolina,Per Student - Inflation Adjusted,6559.229454801294,1198.6124429410804
2003,North Dakota,Per Student - Inflation Adjusted,6299.147438538438,1707.5582485593227
2003,Ohio,Per Student - Inflation Adjusted,7687.282923969194,2387.4336626493186
2003,Oklahoma,Per Student - Inflation Adjusted,5211.671737227281,1320.84025273519
2003,Oregon,Per Student - Inflation Adjusted,6115.473698239811,2569.539111780781
2003,Pennsylvania,Per Student - Inflation Adjusted,8126.065360793361,2206.712830944723
2003,Rhode Island,Per Student - Inflation Adjusted,9038.994493823808,3060.385989604982
2003,South Carolina,Per Student - Inflation Adjusted,6341.222853816077,1792.669834063856
2003,South Dakota,Per Student - Inflation Adjusted,5787.743230550044,1463.4275902039396
2003,Tennessee,Per Student - Inflation Adjusted,5767.581505364956,1356.5294733501387
2003,Texas,Per Student - Inflation Adjusted,6956.247308831405,1128.7881641290944
2003,United States,Per Student - Inflation Adjusted,7321.263545801791,2031.2337652132655
2003,Utah,Per Student - Inflation Adjusted,4346.907510402835,1543.3256672338425
2003,Vermont,Per Student - Inflation Adjusted,9089.490643656676,2650.892449983819
2003,Virginia,Per Student - Inflation Adjusted,7611.453926724369,1946.7721021744046
2003,Washington,Per Student - Inflation Adjusted,6766.724266341727,1549.4716731592198
2003,West Virginia,Per Student - Inflation Adjusted,7029.377714968765,3139.4504704289143
2003,Wisconsin,Per Student - Inflation Adjusted,7342.25886719285,3263.9953951006364
2003,Wyoming,Per Student - Inflation Adjusted,8077.9004545873595,2628.3005799270877
2003,Alabama,Total - Inflation Adjusted,4144264511.3561363,1177221516.5709171
2003,Alaska,Total - Inflation Adjusted,1113341202.56998,319520251.4984174
2003,Arizona,Total - Inflation Adjusted,4706782295.519787,924121928.1892595
2003,Arkansas,Total - Inflation Adjusted,2657004546.910987,591300872.1433707
2003,California,Total - Inflation Adjusted,44448393816.92721,12416888801.033474
2003,Colorado,Total - Inflation Adjusted,5115080542.954083,981113064.0540729
2003,Connecticut,Total - Inflation Adjusted,5284951908.106731,1448451115.9949749
2003,Delaware,Total - Inflation Adjusted,913588945.6205959,312310350.7542336
2003,Florida,Total - Inflation Adjusted,14621709792.45312,3848247434.2413163
2003,Georgia,Total - Inflation Adjusted,10948487891.092216,3043196953.2628813
2003,Hawaii,Total - Inflation Adjusted,1361002635.363873,383184395.6357724
2003,Idaho,Total - Inflation Adjusted,1346385031.385953,411809241.6238507
2003,Illinois,Total - Inflation Adjusted,15359788589.0939,4432057243.530354
2003,Indiana,Total - Inflation Adjusted,6692255867.650037,2909369440.33145
2003,Iowa,Total - Inflation Adjusted,3430427822.684924,974194215.5445161
2003,Kansas,Total - Inflation Adjusted,3065020219.360209,657140843.6658018
2003,Kentucky,Total - Inflation Adjusted,4162011633.29376,1060728566.0989009
2003,Louisiana,Total - Inflation Adjusted,4522833044.610711,1266701711.344707
2003,Maine,Total - Inflation Adjusted,1577691024.043716,703241539.6058319
2003,Maryland,Total - Inflation Adjusted,7094754263.515673,2192872308.175759
2003,Massachusetts,Total - Inflation Adjusted,8879935860.475046,2744645178.5319395
2003,Michigan,Total - Inflation Adjusted,13431929230.670553,5148925961.791419
2003,Minnesota,Total - Inflation Adjusted,6363615508.508331,1698688219.7778244
2003,Mississippi,Total - Inflation Adjusted,2518582364.72224,677599272.5852182
2003,Missouri,Total - Inflation Adjusted,6318136477.535465,1434866323.5875032
2003,Montana,Total - Inflation Adjusted,936656954.5271782,263769619.8180825
2003,Nebraska,Total - Inflation Adjusted,1923179916.6705081,553603956.2594656
2003,Nevada,Total - Inflation Adjusted,2034448055.6684914,615566998.9866703
2003,New Hampshire,Total - Inflation Adjusted,1483934056.8708189,427314131.0549056
2003,New Jersey,Total - Inflation Adjusted,14635557379.59671,4327737623.41536
2003,New Mexico,Total - Inflation Adjusted,2007654295.5836976,532002511.5254217
2003,New York,Total - Inflation Adjusted,31906695883.610962,9207462874.175558
2003,North Carolina,Total - Inflation Adjusted,8622974884.922342,1575725715.0225205
2003,North Dakota,Total - Inflation Adjusted,653379770.614456,177116587.7699663
2003,Ohio,Total - Inflation Adjusted,13867251536.802479,4306752192.14878
2003,Oklahoma,Total - Inflation Adjusted,3253133212.674361,824474685.452478
2003,Oregon,Total - Inflation Adjusted,3380416288.951459,1420349033.7292848
2003,Pennsylvania,Total - Inflation Adjusted,14336667927.758606,3893255977.8640323
2003,Rhode Island,Total - Inflation Adjusted,1421708219.4074945,481355184.07553786
2003,South Carolina,Total - Inflation Adjusted,4386312592.071518,1240015329.7542417
2003,South Dakota,Total - Inflation Adjusted,738677855.6091386,186773587.88489798
2003,Tennessee,Total - Inflation Adjusted,5220004873.537137,1227734620.9028904
2003,Texas,Total - Inflation Adjusted,29229297900.027126,4743045143.354437
2003,United States,Total - Inflation Adjusted,348731122683.6678,96753157777.39268
2003,Utah,Total - Inflation Adjusted,2099840145.8395786,745526060.3724266
2003,Vermont,Total - Inflation Adjusted,873881508.7178835,254861443.41359907
2003,Virginia,Total - Inflation Adjusted,8946911783.437479,2288336028.2585077
2003,Washington,Total - Inflation Adjusted,6865366955.006568,1572057891.7162497
2003,West Virginia,Total - Inflation Adjusted,1979409512.9505448,884042905.1811737
2003,Wisconsin,Total - Inflation Adjusted,6430233974.114643,2858552567.8905215
2003,Wyoming,Total - Inflation Adjusted,694425200.0714978,225944132.31596828
2004,Alabama,Per Student - Inflation Adjusted,5558.5705493903315,1758.4171415230226
2004,Alaska,Per Student - Inflation Adjusted,8199.099263197797,2496.291009568135
2004,Arizona,Per Student - Inflation Adjusted,5391.800023806349,1277.4450844405042
2004,Arkansas,Per Student - Inflation Adjusted,6012.337335057957,1374.336216222511
2004,California,Per Student - Inflation Adjusted,6901.595820615518,2083.760669342902
2004,Colorado,Per Student - Inflation Adjusted,6693.215606536196,1365.8622165389086
2004,Connecticut,Per Student - Inflation Adjusted,9590.134650085547,2778.6424672150883
2004,Delaware,Per Student - Inflation Adjusted,8314.459014192353,3061.69893951761
2004,Florida,Per Student - Inflation Adjusted,5807.592784790684,1662.3416149307914
2004,Georgia,Per Student - Inflation Adjusted,7167.165164696576,1964.2814209491391
2004,Hawaii,Per Student - Inflation Adjusted,7398.976748210984,2124.7344622665532
2004,Idaho,Per Student - Inflation Adjusted,5268.685111600534,1674.1333306406004
2004,Illinois,Per Student - Inflation Adjusted,7447.138925858082,2370.245448205838
2004,Indiana,Per Student - Inflation Adjusted,6688.971694786005,3128.8412175979647
2004,Iowa,Per Student - Inflation Adjusted,7130.5044026069945,2127.5683447056044
2004,Kansas,Per Student - Inflation Adjusted,6443.833951899669,1498.5155623200671
2004,Kentucky,Per Student - Inflation Adjusted,6412.370944917811,1759.080684728264
2004,Louisiana,Per Student - Inflation Adjusted,6296.0849981992715,1921.8837748975743
2004,Maine,Per Student - Inflation Adjusted,8086.269270673222,2932.0591857935897
2004,Maryland,Per Student - Inflation Adjusted,8178.9026668882625,2673.0146832307373
2004,Massachusetts,Per Student - Inflation Adjusted,9205.915486617278,3252.218782322521
2004,Michigan,Per Student - Inflation Adjusted,7409.662558578722,2988.778306024946
2004,Minnesota,Per Student - Inflation Adjusted,7670.4903335056615,2108.7126586233308
2004,Mississippi,Per Student - Inflation Adjusted,5397.053074181176,1461.1774332084676
2004,Missouri,Per Student - Inflation Adjusted,6710.122134453073,1571.3809005456287
2004,Montana,Per Student - Inflation Adjusted,6360.47633674123,1793.9443506369844
2004,Nebraska,Per Student - Inflation Adjusted,6786.858141375875,1986.3857039737402
2004,Nevada,Per Student - Inflation Adjusted,5477.25885911472,1786.5486086618987
2004,New Hampshire,Per Student - Inflation Adjusted,7515.387109280507,2330.460503524911
2004,New Jersey,Per Student - Inflation Adjusted,11007.338522130001,3561.844630468247
2004,New Mexico,Per Student - Inflation Adjusted,6334.681094637474,1771.4806483762109
2004,New York,Per Student - Inflation Adjusted,11164.750323756727,3634.1570160227743
2004,North Carolina,Per Student - Inflation Adjusted,6390.211366626106,1253.1013430982136
2004,North Dakota,Per Student - Inflation Adjusted,6698.302771109711,1793.0181549130018
2004,Ohio,Per Student - Inflation Adjusted,7807.774657906734,2551.862753007095
2004,Oklahoma,Per Student - Inflation Adjusted,5026.754494206198,1298.7199384585535
2004,Oregon,Per Student - Inflation Adjusted,5993.730477677648,2541.0801759219235
2004,Pennsylvania,Per Student - Inflation Adjusted,8267.858927840927,2617.6502970434153
2004,Rhode Island,Per Student - Inflation Adjusted,9025.735858760709,3238.367317913109
2004,South Carolina,Per Student - Inflation Adjusted,6245.614243150604,1773.346863640952
2004,South Dakota,Per Student - Inflation Adjusted,5931.564773636602,1527.587048999702
2004,Tennessee,Per Student - Inflation Adjusted,5855.022300148663,1453.284033829451
2004,Texas,Per Student - Inflation Adjusted,6777.2229410831,1153.0998525416378
2004,United States,Per Student - Inflation Adjusted,7267.84402227517,2161.3675767225836
2004,Utah,Per Student - Inflation Adjusted,4304.2250627822905,1615.2576949922102
2004,Vermont,Per Student - Inflation Adjusted,9390.421969124689,2979.2536962663776
2004,Virginia,Per Student - Inflation Adjusted,7746.963687909723,2036.967049556614
2004,Washington,Per Student - Inflation Adjusted,6672.424586105301,1593.056645250178
2004,West Virginia,Per Student - Inflation Adjusted,6784.991926111134,3357.0586087506485
2004,Wisconsin,Per Student - Inflation Adjusted,7145.61383434301,3355.012683867821
2004,Wyoming,Per Student - Inflation Adjusted,7964.522916328217,2681.557801998219
2004,Alabama,Total - Inflation Adjusted,4060079869.9404607,1284377728.5535982
2004,Alaska,Total - Inflation Adjusted,1091734547.491915,332388144.8488583
2004,Arizona,Total - Inflation Adjusted,5028123052.067007,1191282616.8582423
2004,Arkansas,Total - Inflation Adjusted,2726384292.6573024,623216366.9427692
2004,California,Total - Inflation Adjusted,43145713602.10015,13026716147.22101
2004,Colorado,Total - Inflation Adjusted,5063785734.585373,1033353804.4841003
2004,Connecticut,Total - Inflation Adjusted,5355406061.380541,1551676432.1133168
2004,Delaware,Total - Inflation Adjusted,927228363.0958183,341441362.4553694
2004,Florida,Total - Inflation Adjusted,15059072953.882875,4310452692.239816
2004,Georgia,Total - Inflation Adjusted,10911243642.194284,2990397074.969399
2004,Hawaii,Total - Inflation Adjusted,1358517622.6858938,390119168.4682074
2004,Idaho,Total - Inflation Adjusted,1327903398.0540729,421942977.0679161
2004,Illinois,Total - Inflation Adjusted,15522946331.99533,4940564378.990384
2004,Indiana,Total - Inflation Adjusted,6726384472.508195,3146344934.3995605
2004,Iowa,Total - Inflation Adjusted,3431197120.501266,1023784958.5118495
2004,Kansas,Total - Inflation Adjusted,3026163436.113583,703738717.2804797
2004,Kentucky,Total - Inflation Adjusted,4257085847.5766053,1167824982.1712844
2004,Louisiana,Total - Inflation Adjusted,4542087330.899491,1386472144.9700391
2004,Maine,Total - Inflation Adjusted,1624710420.9035435,589115775.7200762
2004,Maryland,Total - Inflation Adjusted,7108389060.528972,2323147704.4504805
2004,Massachusetts,Total - Inflation Adjusted,8858735857.818247,3129565585.5970206
2004,Michigan,Total - Inflation Adjusted,13005257436.43984,5245827430.561648
2004,Minnesota,Total - Inflation Adjusted,6348775858.222142,1745357781.814867
2004,Mississippi,Total - Inflation Adjusted,2658357290.3032923,719716284.71001935
2004,Missouri,Total - Inflation Adjusted,6147159637.691248,1439547307.0992785
2004,Montana,Total - Inflation Adjusted,942023994.1910219,265693758.4320411
2004,Nebraska,Total - Inflation Adjusted,1934629333.964918,566227682.2842838
2004,Nevada,Total - Inflation Adjusted,2111010176.9714787,688562931.2239399
2004,New Hampshire,Total - Inflation Adjusted,1528112354.037185,473855556.2063055
2004,New Jersey,Total - Inflation Adjusted,15057452802.556744,4872414344.6670685
2004,New Mexico,Total - Inflation Adjusted,2046520689.3304112,572304632.1389521
2004,New York,Total - Inflation Adjusted,31534648912.299667,10264605582.488174
2004,North Carolina,Total - Inflation Adjusted,8545962326.592658,1675830895.340676
2004,North Dakota,Total - Inflation Adjusted,682108591.1712906,182587736.73892224
2004,Ohio,Total - Inflation Adjusted,14035452498.790657,4587281535.084812
2004,Oklahoma,Total - Inflation Adjusted,3145539005.8815274,812686982.0543923
2004,Oregon,Total - Inflation Adjusted,3281826633.093059,1391350569.9102404
2004,Pennsylvania,Total - Inflation Adjusted,14575613992.162378,4614731488.056639
2004,Rhode Island,Total - Inflation Adjusted,1417014485.7546256,508413715.7642795
2004,South Carolina,Total - Inflation Adjusted,4349153849.685514,1234874640.6792412
2004,South Dakota,Total - Inflation Adjusted,742347255.1537809,191180621.24679723
2004,Tennessee,Total - Inflation Adjusted,5337650751.113626,1324860775.981706
2004,Texas,Total - Inflation Adjusted,28920402038.94647,4920583434.222555
2004,United States,Total - Inflation Adjusted,348113535448.0094,103524982389.78102
2004,Utah,Total - Inflation Adjusted,2097493248.9280422,787130891.980859
2004,Vermont,Total - Inflation Adjusted,890578660.0596566,282549138.22684795
2004,Virginia,Total - Inflation Adjusted,9226880687.139547,2426096432.74367
2004,Washington,Total - Inflation Adjusted,6811731334.900681,1626318130.794576
2004,West Virginia,Total - Inflation Adjusted,1903604541.9748538,941858108.3897116
2004,Wisconsin,Total - Inflation Adjusted,6249787653.435237,2934398175.592065
2004,Wyoming,Total - Inflation Adjusted,692316097.4785861,233094433.7112066
2005,Alabama,Per Student - Inflation Adjusted,5571.384330555556,1988.4217624152318
2005,Alaska,Per Student - Inflation Adjusted,8152.13734461398,2932.9898735524253
2005,Arizona,Per Student - Inflation Adjusted,5388.636128325508,1290.2825628847156
2005,Arkansas,Per Student - Inflation Adjusted,6415.754301291079,1544.6833061815337
2005,California,Per Student - Inflation Adjusted,6823.498729590506,2271.7841434011475
2005,Colorado,Per Student - Inflation Adjusted,6630.6045597548255,1423.642986293688
2005,Connecticut,Per Student - Inflation Adjusted,9782.403766431924,3316.308824282733
2005,Delaware,Per Student - Inflation Adjusted,8392.688036893584,3368.3270391497135
2005,Florida,Per Student - Inflation Adjusted,5927.660788262911,1704.3346694574857
2005,Georgia,Per Student - Inflation Adjusted,7097.077498956703,1912.447790701617
2005,Hawaii,Per Student - Inflation Adjusted,7491.89789709181,2348.9928095852893
2005,Idaho,Per Student - Inflation Adjusted,5299.134199804382,1734.034439710485
2005,Illinois,Per Student - Inflation Adjusted,7461.661303155973,2219.6988255738133
2005,Indiana,Per Student - Inflation Adjusted,6661.619548030776,3376.983321035472
2005,Iowa,Per Student - Inflation Adjusted,7180.5267404538345,2191.7034705138235
2005,Kansas,Per Student - Inflation Adjusted,6444.836724308816,1455.3692659494002
2005,Kentucky,Per Student - Inflation Adjusted,6342.759701017214,1841.0636614762648
2005,Louisiana,Per Student - Inflation Adjusted,6315.8379933229,2116.4810519561815
2005,Maine,Per Student - Inflation Adjusted,8230.755172965572,3089.151882889932
2005,Maryland,Per Student - Inflation Adjusted,8303.857137976003,2844.8300042383935
2005,Massachusetts,Per Student - Inflation Adjusted,9321.554055307774,3475.2354755868546
2005,Michigan,Per Student - Inflation Adjusted,7229.471639736567,3128.0313381194574
2005,Minnesota,Per Student - Inflation Adjusted,7689.355068231612,2195.8638540558163
2005,Mississippi,Per Student - Inflation Adjusted,5555.319881846635,1572.5176141366717
2005,Missouri,Per Student - Inflation Adjusted,6780.083114241002,1655.685023200313
2005,Montana,Per Student - Inflation Adjusted,6426.651822052686,1837.7621958268126
2005,Nebraska,Per Student - Inflation Adjusted,6667.444084989566,2045.0566609546163
2005,Nevada,Per Student - Inflation Adjusted,5488.29744504434,1883.2043205790296
2005,New Hampshire,Per Student - Inflation Adjusted,7707.942588249869,2499.0081877543034
2005,New Jersey,Per Student - Inflation Adjusted,11249.08659149713,3773.8033873891495
2005,New Mexico,Per Student - Inflation Adjusted,6351.657553560251,1800.8153058555033
2005,New York,Per Student - Inflation Adjusted,11558.820435902451,4209.153973578508
2005,North Carolina,Per Student - Inflation Adjusted,6539.4384778169,1423.4014156364108
2005,North Dakota,Per Student - Inflation Adjusted,6827.726216092853,1861.5300643844548
2005,Ohio,Per Student - Inflation Adjusted,7768.630505594679,2626.490391836202
2005,Oklahoma,Per Student - Inflation Adjusted,5152.6215961658845,1392.3193244001043
2005,Oregon,Per Student - Inflation Adjusted,6059.289955294731,2611.405646348461
2005,Pennsylvania,Per Student - Inflation Adjusted,8298.609686476264,2807.614702425665
2005,Rhode Island,Per Student - Inflation Adjusted,9150.052309233177,3440.476142123109
2005,South Carolina,Per Student - Inflation Adjusted,6377.747184546166,1781.382288536776
2005,South Dakota,Per Student - Inflation Adjusted,5895.8674056468435,1547.1392745305163
2005,Tennessee,Per Student - Inflation Adjusted,5786.865356846636,1592.3398286254562
2005,Texas,Per Student - Inflation Adjusted,6676.2345727960355,1118.1768901669275
2005,United States,Per Student - Inflation Adjusted,7294.7493995696395,2291.7003020344287
2005,Utah,Per Student - Inflation Adjusted,4322.477453025561,1724.613184076682
2005,Vermont,Per Student - Inflation Adjusted,9694.525729551382,3104.9344991653625
2005,Virginia,Per Student - Inflation Adjusted,7946.480191718831,2329.9892512128326
2005,Washington,Per Student - Inflation Adjusted,6637.059864540949,1755.6013311684924
2005,West Virginia,Per Student - Inflation Adjusted,6792.658209011476,3617.9634722613455
2005,Wisconsin,Per Student - Inflation Adjusted,7256.567815127803,3513.6317895018256
